site,year,month,day,location,depth,temp,salinity,ph,secchi,lat,long,,,,,,,,,
hab4,2015,6,13,a0,0,12.2,24.1,8.1,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,b0,0,12.1,24.1,8.2,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,b1,1,12.1,24.1,8.2,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,c0,0,12.1,24.2,8.2,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,c1,1,11.6,24.5,8.1,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,c3,3,10.4,25,8,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,d0,0,11.9,24.5,8.1,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,d1,1,11.4,24.6,8.1,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,d5,5,10,25.2,8,n/a,-128.07941,51.66479,,,,,,,,,
hab4,2015,6,13,d10,10,9.7,25.4,7.9,n/a,-128.07941,51.66479,,,,,,,,,
hab5,2015,6,14,a0,0,13.4,18.7,8.2,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,b0,0,13.4,18.9,8.3,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,b1,1,13.2,19.1,8.2,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,c0,0,13.4,18.6,8.3,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,c1,1,13.4,19.1,8.3,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,c3,3,11.8,24.7,8.1,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,d0,0,13.4,18,8.3,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,d1,1,13.4,18.9,8.3,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,d5,5,11.3,25.5,8.1,n/a,-127.96572,51.65778,,,,,,,,,
hab5,2015,6,14,d10,10,9.5,27,7.7,n/a,-127.96572,51.65778,,,,,,,,,
hab7,2015,6,14,a0,0,14.1,14.5,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,b0,0,14.1,14.7,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,b1,1,13.7,16.4,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,c0,0,14.1,15,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,c1,1,13.8,16.1,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,c3,3,12.5,21,8.1,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,d0,0,14.1,15,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,d1,1,13.9,15.6,8.2,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,d5,5,10.3,26.2,8,n/a,-128.00725,51.7258,,,,,,,,,
hab7,2015,6,14,d10,10,9.3,27.3,7.7,n/a,-128.00725,51.7258,,,,,,,,,
cas1,2015,6,15,a0,0,11.9,24.5,7.9,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,b0,0,12.1,24.5,8,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,b1,1,11.6,25,8,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,c0,0,12,24.8,8,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,c1,1,11.6,25.2,8,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,c3,2.1,9.8,27.5,7.7,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,d0,0,11.9,25.1,8,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,d1,1,11.4,25.7,7.9,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,d5,5,9.1,28.1,7.6,n/a,-127.91028,51.42298,,,,,,,,,
cas1,2015,6,15,d10,5.5,9,28.2,7.6,n/a,-127.91028,51.42298,,,,,,,,,
cas2,2015,6,15,a0,0,15.1,20.5,8.3,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,b0,0,15.2,20.5,8.3,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,b1,1,15.1,20.6,8.2,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,c0,0,15.2,20.5,8.3,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,c1,1,15.2,20.7,8.2,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,c3,1,15.2,20.7,8.2,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,d0,0,15.4,20.6,8.3,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,d1,1,15.3,20.8,8.2,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,d5,5,10.5,26.9,7.9,n/a,-127.93262,51.52919,,,,,,,,,
cas2,2015,6,15,d10,10,9.6,27.7,7.7,n/a,-127.93262,51.52919,,,,,,,,,
nam1,2015,6,16,a0,0,15.3,17.2,7.9,n/a,,,,,,,,,,,
nam1,2015,6,16,b0,0,15.6,17.9,8.1,n/a,,,,,,,,,,,
nam1,2015,6,16,b1,1,15.4,18.4,8,n/a,,,,,,,,,,,
nam1,2015,6,16,c0,0,15.6,17.9,8.1,n/a,,,,,,,,,,,
nam1,2015,6,16,c1,1,15.4,18.4,8,n/a,,,,,,,,,,,
nam1,2015,6,16,c3,1,15.4,18.4,8,n/a,,,,,,,,,,,
