site,year,month,day,net_extent_set_1,net_width_set_1,depth_extent_set_1,net_extent_set_2,net_width_set_2,depth_extent_set_2,area_set1,vol_set1,area_set2,vol_set2,notes
ssp,2016,5,8,35,15,1.3,15,15,2,501,326,201,201,
pba,2016,5,9,20,6,3,50,9,2,116,174,441,441,
ppo,2016,5,9,20,8,3,18,8,3,153,230,137,206,
ppo,2016,6,3,30,8,3,20,8,3,233,350,153,230,
hdo,2016,6,3,50,8,3,30,8,3,393,590,233,350,
chp,2016,6,5,30,6,1,40,5,1,176,88,197,99,
pba,2016,6,5,15,8,2,40,8,1,113,113,313,157,
wfb,2016,6,6,40,15,3,30,15,3,576,864,426,639,
ssp,2016,6,6,25,15,3,50,15,3,351,526,726,1089,
hdo,2016,7,2,30,20,3,20,8,3,557,836,153,230,
chp,2016,7,2,25,8,3,25,8,1.5,193,290,193,145,
ppo,2016,7,3,25,9,2,25,8,3,216,216,193,290,
pba,2016,7,3,20,9,1.5,20,8,1.5,171,128,153,115,
wfb,2016,7,4,40,17,3,30,15,3,649,973,426,639,
ssp,2016,7,4,40,18,2,15,15,3,685,685,201,301,
sni1,2016,7,20,20,10,3,25,10,3,189,284,239,359,
sni2,2016,7,20,20,10,3,22,9,3,189,284,189,284,
kis1,2016,7,21,35,9,3,35,9,2.5,306,459,306,383,
kis2,2016,7,22,15,7,2,15,10,2,100,100,139,139,
gog4,2016,7,22,45,10,2,30,10,2,439,439,289,289,
gog1,2016,7,22,45,10,1.2,40,10,1.2,439,264,389,234,
ris3,2016,7,23,25,9,3,25,9,3,216,324,216,324,
ris1,2016,7,23,25,10,1.5,25,10,1.5,239,179,239,179,
fan1,2016,7,24,60,9,1.5,25,8,2,531,398,193,193,
fan3,2016,7,24,20,8,2,25,9,2,153,153,216,216,
fei3,2016,7,25,35,10,2.5,30,9,2.5,339,424,261,327,
fei4,2016,7,25,25,9,3,25,9,3,216,324,216,324,
wfb,2016,8,2,40,16,1.5,45,16,3,613,459,693,1039,
ssp,2016,8,2,40,16,1,30,15,3,613,306,426,639,
